Level,Course,Chapter Number,Chapter Title,Duration (minutes)
Certificate,BA1 – Fundamentals of Business Economics,1,Introduction to National Income,45
Certificate,BA1 – Fundamentals of Business Economics,2,Economic Growth and Development,40
Certificate,BA1 – Fundamentals of Business Economics,3,Inflation and Unemployment,50
Certificate,BA1 – Fundamentals of Business Economics,4,Fiscal and Monetary Policy,45
Certificate,BA1 – Fundamentals of Business Economics,5,Institutions and International Organizations,35
Certificate,BA1 – Fundamentals of Business Economics,6,Goals and Governance of Organizations,40
Certificate,BA1 – Fundamentals of Business Economics,7,Supply and Demand Fundamentals,45
Certificate,BA1 – Fundamentals of Business Economics,8,Price Elasticity of Demand,50
Certificate,BA1 – Fundamentals of Business Economics,9,"Other Elasticities (YED, XED, PES)",40
Certificate,BA1 – Fundamentals of Business Economics,10,"Costs, Revenue, and Profit Maximization",55
Certificate,BA1 – Fundamentals of Business Economics,11,Market Structures,50
Certificate,BA1 – Fundamentals of Business Economics,12,Data Collection Methods,40
Certificate,BA1 – Fundamentals of Business Economics,13,Data Analysis and Presentation,45
Certificate,BA1 – Fundamentals of Business Economics,14,Forecasting Techniques,50
Certificate,BA1 – Fundamentals of Business Economics,15,Big Data and Business Analytics,35
Certificate,BA1 – Fundamentals of Business Economics,16,Financial Markets and Institutions,45
Certificate,BA1 – Fundamentals of Business Economics,17,Foreign Exchange and International Trade,50
Certificate,BA1 – Fundamentals of Business Economics,18,Interest Rates and Business Impact,45
Certificate,BA2 – Fundamentals of Management Accounting,1,Introduction to Management Accounting,40
Certificate,BA2 – Fundamentals of Management Accounting,2,Information for Planning and Control,35
Certificate,BA2 – Fundamentals of Management Accounting,3,Cost Classification and Behavior,50
Certificate,BA2 – Fundamentals of Management Accounting,4,Absorption Costing,55
Certificate,BA2 – Fundamentals of Management Accounting,5,Marginal Costing,50
Certificate,BA2 – Fundamentals of Management Accounting,6,Materials and Labor Costing,55
Certificate,BA2 – Fundamentals of Management Accounting,7,Overhead Accounting,50
Certificate,BA2 – Fundamentals of Management Accounting,8,Cost-Volume-Profit Analysis,55
Certificate,BA2 – Fundamentals of Management Accounting,9,Budget Preparation Fundamentals,50
Certificate,BA2 – Fundamentals of Management Accounting,10,Cash Budgets and Forecasting,45
Certificate,BA2 – Fundamentals of Management Accounting,11,Standard Costing Fundamentals,45
Certificate,BA2 – Fundamentals of Management Accounting,12,Variance Analysis,60
Certificate,BA2 – Fundamentals of Management Accounting,13,Relevant Costs for Decision-Making,50
Certificate,BA2 – Fundamentals of Management Accounting,14,Make-or-Buy and Pricing Decisions,55
Certificate,BA2 – Fundamentals of Management Accounting,15,Limiting Factor Analysis,50
Certificate,BA2 – Fundamentals of Management Accounting,16,Performance Measurement Indicators,45
Certificate,BA2 – Fundamentals of Management Accounting,17,Responsibility Accounting,50
Certificate,BA2 – Fundamentals of Management Accounting,18,Integrated Decision-Making,45
Certificate,BA3 – Fundamentals of Financial Accounting,1,Purpose and Scope of Financial Accounting,35
Certificate,BA3 – Fundamentals of Financial Accounting,2,Fundamental Accounting Principles,40
Certificate,BA3 – Fundamentals of Financial Accounting,3,Regulatory Frameworks and Standards,35
Certificate,BA3 – Fundamentals of Financial Accounting,4,Double-Entry Bookkeeping,55
Certificate,BA3 – Fundamentals of Financial Accounting,5,Books of Prime Entry,50
Certificate,BA3 – Fundamentals of Financial Accounting,6,Control Accounts and Reconciliations,50
Certificate,BA3 – Fundamentals of Financial Accounting,7,Accruals and Prepayments,45
Certificate,BA3 – Fundamentals of Financial Accounting,8,Depreciation Methods,50
Certificate,BA3 – Fundamentals of Financial Accounting,9,Bad Debts and Allowances,45
Certificate,BA3 – Fundamentals of Financial Accounting,10,Inventory Valuation,50
Certificate,BA3 – Fundamentals of Financial Accounting,11,Non-Current Assets,55
Certificate,BA3 – Fundamentals of Financial Accounting,12,Trial Balance and Error Correction,50
Certificate,BA3 – Fundamentals of Financial Accounting,13,Income Statement Preparation,55
Certificate,BA3 – Fundamentals of Financial Accounting,14,Statement of Financial Position,55
Certificate,BA3 – Fundamentals of Financial Accounting,15,Year-End Adjustments,50
Certificate,BA3 – Fundamentals of Financial Accounting,16,Introduction to Ratio Analysis,45
Certificate,BA3 – Fundamentals of Financial Accounting,17,Interpreting Financial Statements,45
Certificate,BA3 – Fundamentals of Financial Accounting,18,Limitations of Financial Analysis,35
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",1,Introduction to Business Ethics,40
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",2,Ethical Theories and Frameworks,50
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",3,CIMA Code of Ethics,45
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",4,Ethical Issues and Dilemmas,50
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",5,Principles of Corporate Governance,40
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",6,"Boards, Directors and Stakeholders",45
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",7,Sources and Systems of Law,40
Certificate,"BA4 – Fundamentals of Ethics, Corporate Governance and Business Law",8,Dispute Resolution,35
