Course Title,Level,Slug,Lesson #,Lesson Title,Duration (mins),Lesson Description
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,1,"Introduction to National Income",45,"Understanding GDP and GNP definitions, measurement methods, and the circular flow of income model."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,2,"Economic Growth and Development",40,"Exploring factors driving economic growth, business cycle phases, and interpreting growth rate data."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,3,"Inflation and Unemployment",50,"Types of inflation, measuring inflation (CPI, RPI), the Phillips curve relationship."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,4,"Fiscal and Monetary Policy",45,"Government taxation and spending tools, central bank interest rate decisions, quantitative easing."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,5,"Institutions and International Organizations",35,"Role of government, central banks, IMF, World Bank, and WTO."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,6,"Goals and Governance of Organizations",40,"Stakeholder theory, corporate governance principles, agency theory and conflicts."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,7,"Supply and Demand Fundamentals",45,"Law of demand and supply, equilibrium price determination."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,8,"Price Elasticity of Demand",50,"Calculating PED, elastic vs inelastic goods, revenue implications."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,9,"Other Elasticities (YED, XED, PES)",40,"Income elasticity, cross elasticity, and price elasticity of supply."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,10,"Costs, Revenue, and Profit Maximization",55,"Fixed, variable, total costs. Marginal cost and revenue analysis."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,11,"Market Structures",50,"Perfect competition, monopoly, monopolistic competition, and oligopoly."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,12,"Data Collection Methods",40,"Primary vs secondary data, sampling techniques, questionnaire design."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,13,"Data Analysis and Presentation",45,"Measures of central tendency and dispersion, data visualization."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,14,"Forecasting Techniques",50,"Time series analysis, moving averages, regression analysis basics."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,15,"Big Data and Business Analytics",35,"Big data characteristics (3Vs), applications in business decision-making."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,16,"Financial Markets and Institutions",45,"Money markets vs capital markets, role of banks and financial intermediaries."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,17,"Foreign Exchange and International Trade",50,"Exchange rate systems, factors affecting exchange rates, balance of payments."
"BA1 – Fundamentals of Business Economics",certificate,ba1-business-economics,18,"Interest Rates and Business Impact",45,"Determinants of interest rates, impact on investment decisions, time value of money."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,1,"Introduction to Management Accounting",40,"Definition, role, and scope of management accounting in organizations."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,2,"Information for Planning and Control",35,"Types of data and information used for planning, decision-making, and control."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,3,"Cost Classification and Behavior",50,"Cost classification including fixed, variable, direct, and indirect costs."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,4,"Absorption Costing",55,"Principles of absorption costing including overhead allocation and apportionment."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,5,"Marginal Costing",50,"Marginal costing principles and contribution analysis."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,6,"Materials and Labor Costing",55,"Inventory valuation methods (FIFO, LIFO, weighted average) and labor costing."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,7,"Overhead Accounting",50,"Overhead allocation, apportionment, and absorption rates."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,8,"Cost-Volume-Profit Analysis",55,"CVP analysis including break-even, margin of safety, and target profit."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,9,"Budget Preparation Fundamentals",50,"Budgeting process and functional budgets."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,10,"Cash Budgets and Forecasting",45,"Cash budgets and cash flow forecasting techniques."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,11,"Standard Costing Fundamentals",45,"Purpose and setting of standard costs."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,12,"Variance Analysis",60,"Calculate and interpret material, labor, and overhead variances."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,13,"Relevant Costs for Decision-Making",50,"Relevant costs including opportunity costs, sunk costs, and committed costs."
"BA2 – Fundamentals of Management Accounting",certificate,ba2-management-accounting,14,"Make-or-Buy and Pricing Decisions",55,"Decision-making for make-or-buy, special orders, and pricing strategies."
